"Date" "Open" "High" "Low" "Close" "Volume"
"3309" "3-Jan-00" 14.98 16.07 14.53 15.98 32634000
"3308" "4-Jan-00" 15.46 15.8 14.46 14.64 31296300
"3307" "5-Jan-00" 14.82 15.79 14.29 14.86 47868800
"3306" "6-Jan-00" 15.16 15.29 13.29 13.57 47158300
"3305" "7-Jan-00" 13.79 14.43 13.64 14.14 28233800
"3304" "10-Jan-00" 14.57 14.61 13.54 13.96 30759400
"3303" "11-Jan-00" 13.71 14.2 12.93 13.25 27087900
"3302" "12-Jan-00" 13.57 13.64 12.36 12.46 60464600
"3301" "13-Jan-00" 13.5 14.11 13.21 13.82 62356000
"3300" "14-Jan-00" 14.29 14.61 14.2 14.35 23951200
"3299" "18-Jan-00" 14.43 15.14 14.35 14.85 27121500
"3298" "19-Jan-00" 15.09 15.54 14.77 15.22 35247800
"3297" "20-Jan-00" 16.5 17.36 16.14 16.21 113608600
"3296" "21-Jan-00" 16.32 16.32 15.74 15.9 30169300
"3295" "24-Jan-00" 15.49 16.11 15.02 15.18 26773600
"3294" "25-Jan-00" 15 16.16 14.62 16.04 30650900
"3293" "26-Jan-00" 15.71 16.31 15.64 15.74 22477000
"3292" "27-Jan-00" 15.54 16.14 15.29 15.71 20462400
"3291" "28-Jan-00" 15.46 15.84 14.38 14.52 25756500
"3290" "31-Jan-00" 14.43 14.86 13.5 14.82 42521500
"3289" "1-Feb-00" 14.86 15 14.29 14.32 18978400
"3288" "2-Feb-00" 14.39 14.59 13.86 14.12 28794500
"3287" "3-Feb-00" 14.33 14.89 14.32 14.76 29241100
"3286" "4-Feb-00" 14.85 15.71 14.8 15.43 25952500
"3285" "7-Feb-00" 15.43 16.38 15.13 16.29 26798800
"3284" "8-Feb-00" 16.29 16.59 15.89 16.41 25218200
"3283" "9-Feb-00" 16.3 16.73 16.06 16.09 18226600
"3282" "10-Feb-00" 16.12 16.27 15.59 16.21 18717300
"3281" "11-Feb-00" 16.23 16.3 15.46 15.54 12840100
"3280" "14-Feb-00" 15.62 16.75 15.52 16.54 22045100
"3279" "15-Feb-00" 16.46 17.13 16.46 17 29884400
"3278" "16-Feb-00" 16.82 16.88 16.02 16.3 22883000
"3277" "17-Feb-00" 16.46 16.57 16.16 16.41 17735900
"3276" "18-Feb-00" 16.38 16.48 15.7 15.89 14003500
"3275" "22-Feb-00" 15.73 16.71 15.24 16.26 26094600
"3274" "23-Feb-00" 16.18 17 15.86 16.61 28326200
"3273" "24-Feb-00" 16.76 17.02 15.96 16.46 23172100
"3272" "25-Feb-00" 16.4 16.71 15.73 15.77 14989800
"3271" "28-Feb-00" 15.73 16.43 15.48 16.18 19670700
"3270" "29-Feb-00" 16.22 16.75 16.08 16.38 22031100
"3269" "1-Mar-00" 0 18.87 16.93 18.62 66835300
"3268" "2-Mar-00" 0 18.28 17.21 17.43 19172300
"3267" "3-Mar-00" 0 18.32 17.14 18.29 19866000
"3266" "6-Mar-00" 0 18.45 17.86 17.96 12941600
"3265" "7-Mar-00" 18.06 18.21 17.3 17.55 16568300
"3264" "8-Mar-00" 17.55 17.71 16.94 17.43 16769900
"3263" "9-Mar-00" 17.27 17.86 16.89 17.46 16615200
"3262" "10-Mar-00" 17.38 18.28 17.29 17.96 15410500
"3261" "13-Mar-00" 0 18.07 17.07 17.33 18625600
"3260" "14-Mar-00" 17.32 17.75 16.29 16.32 26292000
"3259" "15-Mar-00" 16.52 17.18 16.3 16.61 27419700
"3258" "16-Mar-00" 16.76 17.43 16.36 17.37 23038400
"3257" "17-Mar-00" 17.16 17.88 17.09 17.86 18459700
"3256" "20-Mar-00" 17.64 18.04 17.48 17.57 12336800
"3255" "21-Mar-00" 17.51 19.54 17.38 19.28 31769500
"3254" "22-Mar-00" 18.97 20.62 18.79 20.6 34407100
"3253" "23-Mar-00" 20.29 21.48 20 20.19 34582100
"3252" "24-Mar-00" 20.35 20.56 19.36 19.81 27634600
"3251" "27-Mar-00" 19.66 20.68 19.55 19.94 17245200
"3250" "28-Mar-00" 19.61 20.29 19.59 19.88 12402600
"3249" "29-Mar-00" 19.91 19.92 19.12 19.42 14725200
"3248" "30-Mar-00" 19.07 19.67 17.86 17.96 25195100
"3247" "31-Mar-00" 18.21 19.61 18 19.4 24308200
"3246" "3-Apr-00" 19.36 19.93 18.49 19.04 20031200
"3245" "4-Apr-00" 18.95 19 16.68 18.19 40978000
"3244" "5-Apr-00" 18.07 18.98 17.71 18.62 28225400
"3243" "6-Apr-00" 18.66 19.21 17.61 17.88 15739500
"3242" "7-Apr-00" 18.18 18.84 17.93 18.82 14800100
"3241" "10-Apr-00" 18.81 18.96 17.71 17.86 12805100
"3240" "11-Apr-00" 17.64 17.84 16.87 17.06 33650400
"3239" "12-Apr-00" 17 17 14.98 15.61 57415400
"3238" "13-Apr-00" 15.93 17.14 15.5 16.26 32797100
"3237" "14-Apr-00" 15.62 16.86 15.57 15.98 40905200
"3236" "17-Apr-00" 15.64 17.86 15.58 17.7 24972500
"3235" "18-Apr-00" 17.64 18.14 17.05 18.12 23948400
"3234" "19-Apr-00" 18.03 18.61 17.11 17.3 29796900
"3233" "20-Apr-00" 17.67 17.82 16.72 16.98 44749600
"3232" "24-Apr-00" 16.43 17.39 16.11 17.21 27239100
"3231" "25-Apr-00" 17.45 18.39 17.44 18.33 23968000
"3230" "26-Apr-00" 18.09 18.29 17.14 17.33 22568700
"3229" "27-Apr-00" 16.74 18.14 16.65 18.11 20223000
"3228" "28-Apr-00" 18.16 18.21 17.33 17.72 14757400
"3227" "1-May-00" 17.84 17.88 17.41 17.76 13951000
"3226" "2-May-00" 17.61 18.04 16.79 16.84 14247100
"3225" "3-May-00" 16.99 17.32 15.95 16.44 30260300
"3224" "4-May-00" 16.45 16.46 15.79 15.81 24464300
"3223" "5-May-00" 15.83 16.39 15.82 16.16 17390100
"3222" "8-May-00" 16.01 16.24 15.57 15.73 11204900
"3221" "9-May-00" 15.76 15.89 14.98 15.06 20275500
"3220" "10-May-00" 14.87 15.06 14 14.19 32790100
"3219" "11-May-00" 14.48 14.95 14.14 14.69 30342900
"3218" "12-May-00" 15.14 15.79 14.97 15.38 18838400
"3217" "15-May-00" 15.44 15.44 14.29 14.43 41694800
"3216" "16-May-00" 14.93 15.58 14.68 15.1 27121500
"3215" "17-May-00" 14.8 14.81 14.34 14.48 24511200
"3214" "18-May-00" 14.71 14.99 14.38 14.39 22449000
"3213" "19-May-00" 14.18 14.18 13.31 13.43 45463600
"3212" "22-May-00" 13.39 13.39 12.29 12.85 46787300
"3211" "23-May-00" 12.93 13.34 12.07 12.26 31894100
"3210" "24-May-00" 12.31 12.82 11.86 12.53 42099400
"3209" "25-May-00" 12.64 13.24 12.29 12.47 25193700
"3208" "26-May-00" 12.57 12.84 12.18 12.34 11239900
"3207" "30-May-00" 12.52 12.59 11.68 12.51 41004600
"3206" "31-May-00" 12.41 13.04 11.93 12 26586700
"3205" "1-Jun-00" 11.68 12.79 11.48 12.73 55706000
"3204" "2-Jun-00" 13.39 14.25 12.71 13.22 49129500
"3203" "5-Jun-00" 13.33 13.61 12.81 13.04 19995500
"3202" "6-Jun-00" 13.14 13.82 12.9 13.27 32184600
"3201" "7-Jun-00" 13.38 14.11 13.09 13.79 20454000
"3200" "8-Jun-00" 13.95 14.07 13.3 13.54 14345100
"3199" "9-Jun-00" 13.82 13.99 13.48 13.68 15600900
"3198" "12-Jun-00" 13.77 13.78 12.98 13.03 17582600
"3197" "13-Jun-00" 13.03 13.61 12.6 13.5 21730100
"3196" "14-Jun-00" 13.53 13.75 12.88 12.92 17164700
"3195" "15-Jun-00" 13.04 13.34 12.71 13.2 15254400
"3194" "16-Jun-00" 13.36 13.39 12.72 13.03 18350500
"3193" "19-Jun-00" 12.94 14.07 12.83 13.8 24220000
"3192" "20-Jun-00" 14.07 14.85 14.05 14.46 30856700
"3191" "21-Jun-00" 7.21 8.13 7.19 7.95 60711700
"3190" "22-Jun-00" 7.96 8.23 7.54 7.68 57702400
"3189" "23-Jun-00" 7.68 7.8 7.26 7.38 25139800
"3188" "26-Jun-00" 7.5 7.85 7.45 7.73 22764000
"3187" "27-Jun-00" 7.68 7.93 7.36 7.39 24671500
"3186" "28-Jun-00" 7.62 7.91 7.36 7.78 35294000
"3185" "29-Jun-00" 7.58 7.71 7.29 7.32 24989300
"3184" "30-Jun-00" 7.54 7.85 7.38 7.48 37226000
"3183" "3-Jul-00" 7.45 7.76 7.45 7.62 8702400
"3182" "5-Jul-00" 7.61 7.88 7.25 7.38 32409300
"3181" "6-Jul-00" 7.5 7.56 7.09 7.4 38027500
"3180" "7-Jul-00" 7.51 7.83 7.45 7.78 32575900
"3179" "10-Jul-00" 7.73 8.32 7.68 8.16 49173600
"3178" "11-Jul-00" 8.14 8.46 7.92 8.13 44405900
"3177" "12-Jul-00" 8.3 8.42 8.05 8.41 27248900
"3176" "13-Jul-00" 8.36 8.66 7.82 8.07 55262200
"3175" "14-Jul-00" 8.16 8.43 8.12 8.24 23130100
"3174" "17-Jul-00" 8.32 8.4 8.16 8.33 32071900
"3173" "18-Jul-00" 8.36 8.83 7.57 8.18 35749700
"3172" "19-Jul-00" 7.88 8.12 7.39 7.53 55395200
"3171" "20-Jul-00" 7.86 8.15 7.73 7.88 57667400
"3170" "21-Jul-00" 7.77 7.95 7.56 7.65 24054800
"3169" "24-Jul-00" 7.51 7.66 6.79 6.96 49732200
"3168" "25-Jul-00" 7.19 7.23 7.01 7.15 26085500
"3167" "26-Jul-00" 7.12 7.32 7.04 7.15 24076500
"3166" "27-Jul-00" 7.14 7.61 7.12 7.43 35707000
"3165" "28-Jul-00" 7.47 7.5 6.7 6.9 28474600
"3164" "31-Jul-00" 7.02 7.38 6.96 7.26 18631200
"3163" "1-Aug-00" 7.19 7.31 7.02 7.04 16424100
"3162" "2-Aug-00" 7 7.13 6.71 6.75 19618200
"3161" "3-Aug-00" 6.51 6.93 6.32 6.86 40454400
"3160" "4-Aug-00" 7.07 7.32 6.62 6.77 29253000
"3159" "7-Aug-00" 6.84 7.01 6.74 6.85 22619100
"3158" "8-Aug-00" 6.85 6.86 6.62 6.68 21742700
"3157" "9-Aug-00" 6.88 6.93 6.75 6.79 46010300
"3156" "10-Aug-00" 6.86 6.92 6.77 6.79 31129700
"3155" "11-Aug-00" 6.69 6.86 6.51 6.81 29498700
"3154" "14-Aug-00" 6.8 6.81 6.62 6.72 19356400
"3153" "15-Aug-00" 6.75 6.85 6.64 6.67 14030800
"3152" "16-Aug-00" 6.7 7.14 6.69 6.93 17031000
"3151" "17-Aug-00" 6.91 7.49 6.9 7.35 32610900
"3150" "18-Aug-00" 7.34 7.4 7.12 7.14 23405200
"3149" "21-Aug-00" 7.18 7.37 7.09 7.21 16615200
"3148" "22-Aug-00" 7.23 7.54 7.2 7.38 34356700
"3147" "23-Aug-00" 7.35 7.82 7.29 7.76 29206800
"3146" "24-Aug-00" 7.81 8.09 7.62 8.02 38453800
"3145" "25-Aug-00" 8.07 8.21 8.02 8.12 40986400
"3144" "28-Aug-00" 0 8.43 8.15 8.29 44020200
"3143" "29-Aug-00" 8.27 8.54 8.24 8.46 32783100
"3142" "30-Aug-00" 8.43 8.57 8.39 8.5 35100100
"3141" "31-Aug-00" 8.42 8.79 8.42 8.71 50321600
"3140" "1-Sep-00" 8.76 9.11 8.73 9.06 31108700
"3139" "5-Sep-00" 8.95 9.16 8.86 8.92 36595300
"3138" "6-Sep-00" 8.77 8.91 8.25 8.35 42978600
"3137" "7-Sep-00" 8.45 8.94 8.32 8.86 26363400
"3136" "8-Sep-00" 8.8 8.8 8.36 8.41 23623600
"3135" "11-Sep-00" 8.38 8.62 8.3 8.35 23033500
"3134" "12-Sep-00" 8.19 8.58 8.14 8.25 23094400
"3133" "13-Sep-00" 8.11 8.5 8.11 8.29 37845500
"3132" "14-Sep-00" 8.37 8.52 8 8.12 50163400
"3131" "15-Sep-00" 8.25 8.31 7.75 7.89 47464900
"3130" "18-Sep-00" 7.89 8.71 7.87 8.67 49004900
"3129" "19-Sep-00" 8.54 8.64 8.37 8.56 33313700
"3128" "20-Sep-00" 8.49 8.78 8.37 8.72 27179600
"3127" "21-Sep-00" 8.36 8.52 7.3 8.1 60442200
"3126" "22-Sep-00" 7.19 7.63 7.14 7.46 86629900
"3125" "25-Sep-00" 7.54 7.93 7.44 7.64 51860200
"3124" "26-Sep-00" 7.62 7.82 7.3 7.35 35996100
"3123" "27-Sep-00" 7.39 7.54 6.89 6.99 49427700
"3122" "28-Sep-00" 7.04 7.78 6.07 7.64 40779200
